,user_location,user_description,date,text,hashtags,source
0,,Don't you think nineteen's too young?• (a/ela/dela/-a)• INFJ/ISFJ•,2023-01-09 17:14:34+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
1,"Mato Grosso, Brasil",🫀🇧🇷,2023-01-09 17:14:25+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
2,Goiânia,,2023-01-09 17:14:22+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
3,Recife,🌞,2023-01-09 17:14:01+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
4,,,2023-01-09 17:13:55+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for iPhone
5,,✨ Never give up ✨ RTM @bambasdaorgia_ 🦅,2023-01-09 17:13:55+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
6,"Nova Iorque, USA",#OAlgoritmoVenceu,2023-01-09 17:13:43+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
7,,vivo de retuitar ✌️,2023-01-09 17:13:40+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
8,"Belo Horizonte, Brasil","Vivendo e
Evoluindo, não tipo um pokémon!
Eu sou a ovelha holística da família.",2023-01-09 17:13:34+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
9,"Belo Horizonte, Brasil",Conta recuperada,2023-01-09 17:13:28+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
10,"Rio Branco, Brasil",,2023-01-09 17:13:28+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
11,Brasil,"Meu livrin: https://t.co/IvWWmSpIkS…

YouTube: https://t.co/OOoGZ0TykH

Streamer sometimes and Escritor (Writer)",2023-01-09 17:13:21+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter Web App
12,"Maceió, 🇧🇷",Filiado ao PT🚩🚩🚩. Graduado em Gestão Pública. Pós-graduado em Gestão Pública e Gestão Escolar. Servidor público. Aposentado. #LulaEternoPresidente1️⃣3️⃣,2023-01-09 17:13:07+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
13,Ouro preto ,Tranquilidade sempre,2023-01-09 17:13:00+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
14,,,2023-01-09 17:12:42+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
15,,#1D,2023-01-09 17:12:28+00:00,"RT @CUT_Brasil: necessárias para impedir que os terroristas agissem.

A CUT exige a apuração e a punição exemplar de todos os participantes…",,Twitter for Android
16,"Goiânia, Brasil","Eu sou metade preguiça, a outra foi militância e o que sobrou é putaria! ♈

sim, todo mês perdendo senha e criando perfil novo! 🤦🏿‍♀️

@bie.rob",2023-01-09 17:12:17+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
17,,"Lula presidente! Sou fonoaudióloga, pedagoga e professora! Feliz e com orgulho! E sou de JESUS! Dono do meu coração.",2023-01-09 17:12:01+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
18,,💜,2023-01-09 17:11:49+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
19,,"𝑬𝒖 𝒔𝒐𝒖 𝒎𝒊𝒏𝒉𝒂 𝒖́𝒏𝒊𝒄𝒂 𝒎𝒖𝒔𝒂, 𝒐 𝒂𝒔𝒔𝒖𝒏𝒕𝒐 𝒒𝒖𝒆 𝒄𝒐𝒏𝒉𝒆𝒄̧𝒐 𝒎𝒆𝒍𝒉𝒐𝒓 | (𝒆𝒍𝒂/𝒅𝒆𝒍𝒂)",2023-01-09 17:11:46+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
20,"21🏳️‍🌈, reylo, 🏁, edser","Em um relacionamento abusivo com Grandes Expectativas de Charles Dickens
 (qualquer pronome) 
Graduanda em Conservação e Restauro/UFRJ

🪧 @booklinho",2023-01-09 17:11:25+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
21,,"💡 Comunicação de marca para empreendedores.
🤘🏼 Especialista em Identidade Visual
🏹 Todo guerreiro precisa de um arqueiro!
⬇️ Orçamento e portfólio aqui.",2023-01-09 17:10:59+00:00,RT @TeofiloHayashi: A violência e vandalismo que vimos é inaceitável tanto hoje em Brasília como também em 2014 quando a esquerda invadiu o…,,Twitter Web App
22,Brasil,"Projeto das embaixadas da Dinamarca, Finlândia, Noruega e Suécia, e do Instituto Cultural da Dinamarca que promove debate sobre desafios que o Brasil enfrenta.",2023-01-09 17:10:50+00:00,"RT @SwedeninBR: A Suécia condena veementemente o ataque às instituições democráticas do Brasil ontem, e dá seu total apoio ao Governo eleit…",,Twitter Web App
23,VACARIA RS,"Hello,Men. Follow https://t.co/Eyuet0gadd",2023-01-09 17:10:45+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter Web App
24,Brasil,"Projeto das embaixadas da Dinamarca, Finlândia, Noruega e Suécia, e do Instituto Cultural da Dinamarca que promove debate sobre desafios que o Brasil enfrenta.",2023-01-09 17:10:43+00:00,RT @SwedeninBR: “Condeno veementemente o ataque às instituições democráticas do Brasil ontem.  Meu total apoio ao presidente Lula @LulaOfic…,,Twitter Web App
25,Brazil,"Poison but tasty                                                                                     
(ela/dela)
Bi 🏳️‍🌈",2023-01-09 17:10:41+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter Web App
26,,,2023-01-09 17:10:33+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
27,,,2023-01-09 17:10:07+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
28,"Porto Alegre, Brasil","Analista do discurso do analista.
Less_of_me on @NightCafé",2023-01-09 17:10:04+00:00,RT @bru_rodrigues65: Em defesa da democracia e pela punição do grupo golpista que promoveu o mais absurdo ato antidemocrático dos últimos a…,,Twitter Web App
29,,Minha fé,2023-01-09 17:10:02+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
30,Portugal,Gaúcha e Colorada,2023-01-09 17:09:40+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter Web App
31,Brasil,"pronomes : gos/tosa
signo : perfeitinho",2023-01-09 17:09:23+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
32,Santa Maria - RS,Uma piada interna que ninguém entendeu,2023-01-09 17:09:13+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
33,São Paulo - Brasil,🇧🇷,2023-01-09 17:09:02+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter Web App
34,"Rio de Janeiro, Brasil",@Flamengo ❤,2023-01-09 17:09:00+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
35,"Palmas, Brasil",surtos e episódios,2023-01-09 17:08:58+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter Web App
36,,,2023-01-09 17:08:57+00:00,"RT @su_parrilla: @dilmabr ""Para alcançar o seus objetivos, estão dispostos a violentar a democracia e a rasgar a constituição, espalhando a…",,Twitter for Android
37,"Sorocaba, SP","Católico, pai de família, conservador, contra (corruptos, hipócritas, comunistas, aborto, ideologia de gêneros) 🇧🇷🙏",2023-01-09 17:08:51+00:00,"RT @deltanmd: O Brasil é uma democracia que permite manifestações livres e pacíficas, mas ataques e vandalismo contra às instituições não t…",,Twitter for Android
38,"Rio de Janeiro, Brasil","Administrador, defensor do justo, contra as mentiras.",2023-01-09 17:08:48+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
39,,lah,2023-01-09 17:08:45+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
40,,,2023-01-09 17:08:44+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
41,"Paraíba, Brasil","🏳️‍⚧️  dorot fucking kween  🏳️‍⚧️
Multiartista & mãe na @casadabaixacostura viva at @dorotiane
CLICA NO MEU SOUNDCLOUND E VEM PRO MUNDINHO 3000",2023-01-09 17:08:38+00:00,"RT @su_parrilla: @dilmabr ""Para alcançar o seus objetivos, estão dispostos a violentar a democracia e a rasgar a constituição, espalhando a…",,Twitter for Android
42,"Itaperuna, Brasil","Opiniões nem sempre sensatas e certas, futilidades, política, séries, livros, cristianismo, e ciente de que estou em construção.",2023-01-09 17:08:38+00:00,RT @TeofiloHayashi: Liberdade de expressão e protesto pacífico é legítimo e parte da democracia. Já a baderna e violência ocorridos hoje em…,,Twitter for iPhone
43,,Sou escultora.,2023-01-09 17:08:36+00:00,"RT @bibonunes1: Quando se usa a violência,  se perde a razão, o respeito das pessoas de bem e da nação.
Jamais devemos generalizar o que um…",,Twitter for Android
44,"Roraima, Brasil","poderosa, eu sou quase um anjo.👼🏻✨",2023-01-09 17:08:29+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
45,EUA,"CONTA OFF ATÉ 2026!!

Falo o que quero sem cobrar like, seguidores e pix.

Vivo no país em que o Presidente foi descondenado e é ""EX""corrupto. 🤔",2023-01-09 17:08:12+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter Web App
46,,Patriota com muito orgulho 🇧🇷🫡,2023-01-09 17:07:40+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
47,,Animes e esportes,2023-01-09 17:07:16+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
