,user_location,user_description,date,text,hashtags,source
0,,,2023-01-09 13:22:38+00:00,"RT @Metropoles: Goiás vai enviar reforço para conter atos violentos em Brasília

Vândalos bolsonaristas invadiram Congresso, Planalto e STF…",,Twitter for Android
1,,Empresário - Bacharel em Direito - Conservador - Liberal - Patriota e defensor da família e da liberdade.,2023-01-09 13:22:38+00:00,"RT @areamilitarof: URGENTE!! Lula se pronuncia e diz que todos os envolvidos serão identificados e pagarão o preço, e ainda os chamou de Na…",,Twitter for iPhone
2,,".Vivendo ou apenas existindo pela renovação da 3 temp de Young Royals 
.Geminiana como canceriana
.Gateira de nascença 
.23",2023-01-09 13:22:34+00:00,"RT @anthunesarth: Vladimir Putin e Joe Biden criticam atos golpistas de bolsonaristas e dão apoio total a Lula. ""Apoiamos plenamente o pres…",,Twitter Web App
3,Brasil,"Pronomes: Luladrão cachaceiro analfabeto
Exilada Política 
NÃO ME MISTURO COM GENTALHA",2023-01-09 13:22:33+00:00,"RT @opropriomax_br: ""- Ain, absurdo o que esses terroristas estão fazendo em Brasília! São criminosos e merecem estar na cadeia!
- Tu votou…",,Twitter Web App
4,"Porto Velho, Brasil",aqui desde 2012. te amo @luansantana❣️,2023-01-09 13:22:27+00:00,RT @candyferraz: ibaneis pedindo desculpas a lula e lula retornando que não aceita as desculpas. um presidente democrata e escorpiano era o…,,Twitter for Android
5,"Baixada Fluminense, RJ","Flamengo e cerveja até morrer!

Brasil acima de tudo!
Deus acima de todos!",2023-01-09 13:22:25+00:00,"RT @areamilitarof: O interventor para a segurança no Distrito Federal  nomeado por Flavio Dino, Ricardo Capelli, foi do PCdoB e presidente…",,Twitter for Android
6,,,2023-01-09 13:22:25+00:00,"RT @miriamleitao: Em poucos dias, governo Lula já fez muito em várias áreas para mudar a rota do Brasil e isso também terá efeito na econom…",,Twitter for Android
7,Brasil,"Demissexual que adora livros inclusive NA. Alma de artista.Sofro por After, H&J Taylor e Harry e desenhos animados. Adora bater 🍰
Ela / Dela ♦️",2023-01-09 13:22:24+00:00,RT @safbf: Existe uma diferença crucial entre a invasão do Capitólio em 6 de janeiro nos EUA e a invasão da sede dos 3 poderes hoje em Bras…,,Twitter for Android
8,"Oviedo, España",,2023-01-09 13:22:22+00:00,"RT @almayadeen_es: #Brasil
Vía @telesurtv Bolsonaristas bloquean la av. Marginal Tietê, uno de los principales accesos a São Paulo. #Video…","['Brasil', 'Video']",Twitter for Android
9,,,2023-01-09 13:22:17+00:00,"RT @RevistaISTOE: Parlamentares norte-americanos criticaram, neste domingo (8) a estadia do ex-presidente do Brasil Jair Bolsonaro no país…",,Twitter for iPhone
10,,"AMOR.
Cristão, Deus, Jesus Cristo e Maria Santíssima.
Conservador, de Direita, Contra o aborto e ideologia nas escolas.  
#BolsonaroPresidenteAte2026",2023-01-09 13:22:17+00:00,"RT @JoseDinisPFons1: PRIMEIRA PARTE :

EM 08.01.2023 O LULA MENTIU DESCARADAMENTE AO BRASIL EM TEDE NACIONAL, DIZENDO  QUE SEUS COMPARSAS N…",,Twitter Web App
11,,🇧🇷 Nacional-liberal 🇧🇷,2023-01-09 13:22:16+00:00,"RT @NoticiaeGuerra: 🇻🇪🇧🇷  Nicolás Maduro 

""Rejeitamos a violência gerada pelos grupos neofascistas de Bolsonaro que agrediram as instituiç…",,Twitter for Android
12,Algum lugar do Rio de janeiro,"videogames / Botafogo / pistolagem política / animais /
corretagem",2023-01-09 13:22:13+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for Android
13,"Paris, France","PT significa Portugal | 21y/o | luso-franc | no insta eu sou ghost, mas tá aí abaixo:",2023-01-09 13:21:57+00:00,"RT @ellieroze_: @LukazdeFreita @frederico2105 @nandaxxie isso não é mais sobre bolsonaro ou lula, os caras danificaram e roubaram objetos h…",,Twitter for Android
14,,,2023-01-09 13:21:45+00:00,"RT @areamilitarof: O interventor para a segurança no Distrito Federal  nomeado por Flavio Dino, Ricardo Capelli, foi do PCdoB e presidente…",,Twitter for Android
15,,ELES SUCUMBIRÃO A NOSSA PLURALIDADE DE IDEIAS E NÃO RESISTIRÃO AO NOSSO ESPÍRITO CRÍTICO.,2023-01-09 13:21:44+00:00,"RT @fernandoulrich: Deploráveis os atos de vandalismo, depredação e violência hoje em Brasília.

Além de criminosos e antidemocráticos, são…",,Twitter for Android
16,"Coimbra, Portugal","Presidente do Brasil Jair Messias Bolsonaro! 
Quem não gostou? Brasil! Ame-o ou Deixe-o!",2023-01-09 13:21:38+00:00,"RT @renatarocha69: Interessante a indignação geral da esquerda mundial. Dá para pensar que estão todos envolvidos, com interesses genuínos…",,Twitter for Android
17,Campo Florido MG,Pedagoga e micro empresária do ramo de Floricultura,2023-01-09 13:21:36+00:00,"RT @twittess: Bom, fica aí à Lula o job de refazer a bandeira do Brasil. Pq infelizmente a canarinho não vai ter mais jeito.",,Twitter Web App
