,user_location,user_description,date,text,hashtags,source
0,Brazil,"Brasil acima de tudo, Deus acima de todos 🙏🏻",2023-01-09 13:08:51+00:00,"RT @AraciBrolo: VÁRIOS MANIFESTANTES ESTÃO DIZENDO QUE JÁ HAVIAM  PETISTAS DENTRO DO CONGRESSO E DO STF  ANTES DA INVASÃO.

Petistas infilt…",,Twitter for iPhone
1,,,2023-01-09 13:08:51+00:00,"RT @AraciBrolo: VÁRIOS MANIFESTANTES ESTÃO DIZENDO QUE JÁ HAVIAM  PETISTAS DENTRO DO CONGRESSO E DO STF  ANTES DA INVASÃO.

Petistas infilt…",,Twitter Web App
2,,"Cristão; Conservador; Bolsonarista; #bolsonaroate2026
Deus; Pátria e Família 🙏🏼🇧🇷",2023-01-09 13:08:50+00:00,"RT @AraciBrolo: VÁRIOS MANIFESTANTES ESTÃO DIZENDO QUE JÁ HAVIAM  PETISTAS DENTRO DO CONGRESSO E DO STF  ANTES DA INVASÃO.

Petistas infilt…",,Twitter for Android
3,"Guarulhos, Brasil","Sou cristã, brasileira, patriota",2023-01-09 13:08:50+00:00,"RT @AraciBrolo: VÁRIOS MANIFESTANTES ESTÃO DIZENDO QUE JÁ HAVIAM  PETISTAS DENTRO DO CONGRESSO E DO STF  ANTES DA INVASÃO.

Petistas infilt…",,Twitter for Android
4,"Brasília, Brasil","advogada, em defesa dos Direitos, da liberdade de expressão e das Garantias Individuais. Democracia se faz todo dia!",2023-01-09 13:08:48+00:00,"RT @GloboNews: Maíra Fernandes, advogada criminalista e professora convidada da FGV-RJ, fala sobre possíveis implicações judiciais para os…",,Twitter for iPhone
5,"Rio de Janeiro, Brasil","Eu te amo.Você provavelmente está pensando. Você nem me conhece Mas as pessoas podem odiar sem motivo, eu posso AMAR.🥰
A democracia não é um estado. É uma ação",2023-01-09 13:08:48+00:00,"RT @gugachacra: Manchete do NYTimes de hoje é sobre a invasão ao Planalto, Congresso e STF em Brasília. Reportagem do @jacknicas e André Sp…",,Twitter for Android
6,,"ⓘ  Perfil  Oficial
conservadora. 
cristã # , SDV 🇧🇷.",2023-01-09 13:08:45+00:00,"RT @SelmaAcupuntura: VÁRIOS MANIFESTANTES ESTÃO DIZENDO QUE JÁ HAVIAM  PETISTAS DENTRO DO CONGRESSO E DO STF  ANTES DA INVASÃO.

Petistas i…",,Twitter for Android
7,Brasil,"Administradora, especialista em processos, educadora em gestão e negócios, filósofa e... ninguém.",2023-01-09 13:08:34+00:00,"RT @Safatle_oficial: Invasão do Palácio do Planalto, do STF e do Congresso; participação da polícia; bloqueio de refinarias e estradas; tan…",,Twitter for Android
8,rio de janeiro ,𝑖𝑡'𝑠  𝑡𝘩𝑒  𝑚𝑜𝑠𝑡  𝑏𝑒𝑎𝑢𝑡𝑖𝑓𝑢𝑙  𝑡𝑖𝑚𝑒  𝑜𝑓  𝑡𝘩𝑒  𝑦𝑒𝑎𝑟✨,2023-01-09 13:08:34+00:00,"RT @raphaelsebba: Acompanho protesto no DF há muitos anos.
Digo sem margem de erro: é impossível existir invasão ao STF, ao Palácio do Plan…",,Twitter for iPhone
9,"Sergipe, Brasil","A hora do sim, é o descuido do não!",2023-01-09 13:08:33+00:00,"RT @raphaelsebba: Acompanho protesto no DF há muitos anos.
Digo sem margem de erro: é impossível existir invasão ao STF, ao Palácio do Plan…",,Twitter for Android
