,user_location,user_description,date,text,hashtags,source
0,,,2023-01-09 16:42:03+00:00,RT @gbsilvaluz: O ex-decano do Supremo Tribunal Federal (STF) Marco Aurélio Mello afirmou ao Globo que o ex-presidente Jair Bolsonaro (PL)…,,Twitter for Android
1,"Santa Luzia, Brasil",,2023-01-09 16:39:18+00:00,"RT @VEJA: Advogados, viagens e salário igual ao STF: o custo-Bolsonaro para o PL &gt;&gt;&gt; https://t.co/Q6P3oSNx3q https://t.co/RLtH0pQJp8",,Twitter for Android
2,"São Paulo, Brasil","🇧🇷professora universitária, de direita, apoia a justiça, a verdade, a paz e a união do povo brasileiro. Deus, Pátria, Família e Liberdade",2023-01-09 16:38:01+00:00,"RT @ZazaS_: Marco Aurélio Mello isenta Bolsonaro e culpa STF por terrorismo em Brasília
O ex-decano do Supremo Tribunal Federal (STF) Marco…",,Twitter for iPhone
3,Campo Mourão ,"CELEBRIDADE SÓ JESUS CRISTO!""ACAUTELAI-VOS DOS FALSOS PROFETAS,POIS SE DISFARÇAM DE OVELHAS MAS SÃO LOBOS DEVORADORES(Mateus 7.15)""
⚫🔴Athletico🌪Paranaense⚫🔴",2023-01-09 16:37:04+00:00,"RT @VEJA: Advogados, viagens e salário igual ao STF: o custo-Bolsonaro para o PL &gt;&gt;&gt; https://t.co/Q6P3oSNx3q https://t.co/RLtH0pQJp8",,Twitter Web App
4,Brasil,Jornalista/Advogado. Agora é responsabilizar os golpistas e apoiar nossas instituições que resistiram bravamente. O Brasil segue tentando se livrar do Bozo! 🤔,2023-01-09 16:34:45+00:00,"RT @VEJA: Advogados, viagens e salário igual ao STF: o custo-Bolsonaro para o PL &gt;&gt;&gt; https://t.co/Q6P3oSNx3q https://t.co/RLtH0pQJp8",,Twitter Web App
5,"Rio de Janeiro, Brasil","- Prazer, Jean Beco.

👉Fazendo alguns comentários sobre o meu Amor maior.✌⚽










''A vida me fez Flamengo, e eu fiz do Flamengo a minha vida.''❤⚫🔴

#SRN",2023-01-09 16:27:55+00:00,"RT @VEJA: Advogados, viagens e salário igual ao STF: o custo-Bolsonaro para o PL &gt;&gt;&gt; https://t.co/Q6P3oSNx3q https://t.co/RLtH0pQJp8",,Twitter for Android
6,,,2023-01-09 16:08:33+00:00,RT @gbsilvaluz: O ex-decano do Supremo Tribunal Federal (STF) Marco Aurélio Mello afirmou ao Globo que o ex-presidente Jair Bolsonaro (PL)…,,Twitter for Android
7,"Nova Brasilândia d'Oeste, Bras",,2023-01-09 16:08:13+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
8,,,2023-01-09 16:07:47+00:00,RT @gbsilvaluz: O ex-decano do Supremo Tribunal Federal (STF) Marco Aurélio Mello afirmou ao Globo que o ex-presidente Jair Bolsonaro (PL)…,,Twitter for iPhone
9,,,2023-01-09 16:07:35+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
10,"São Paulo, Brasil","🇧🇷 ESPOSA do Hlebanja, MÃE de 4 vidas🌻 AVÓ Maria Laura e Ariella❣️FILHA da Lourdes e Edson,BRASILEIRA! Coach DEUS acima de tudo! @nynahleb",2023-01-09 16:02:40+00:00,RT @gbsilvaluz: O ex-decano do Supremo Tribunal Federal (STF) Marco Aurélio Mello afirmou ao Globo que o ex-presidente Jair Bolsonaro (PL)…,,Twitter for iPhone
11,"Recife, Brasil",,2023-01-09 16:00:30+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
12,"Minas Gerais, Brasil","Internationalist in training, fan of Lana Del Rey, citizen of the world. 🏳️‍🌈",2023-01-09 15:57:53+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for iPhone
13,Brasil,"yeah, I'm not",2023-01-09 15:57:51+00:00,"RT @PapoRetissimo: Senador bolsonarista, Magno Malta,eleito pelo PL/ES,convida o povo para os Atos terroristas em Brasília em 07/01/23.A pr…",,Twitter for Android
14,Florianópolis,"Todas as maluquices que se passam pela cabeça de uma capivara intelectualizada...livros, filmes e opiniões políticas!",2023-01-09 15:53:25+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
15,"Campina Grande, Brasil","Em defesa dos menos favorecidos, em especial o povo palestino,  e pelo Brasil, sempre !",2023-01-09 15:51:16+00:00,"RT @brasildefato: Após atos de depredação no Congresso, no Palácio do Planalto e no STF, representantes de outros países se manifestam sobr…",,Twitter for Android
16,,SEM ANISTIA!,2023-01-09 15:47:28+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for iPhone
17,"Fortaleza, Brasil","Tradutor e Intérprete Público. RTs, comentários, arquivo próprio.",2023-01-09 15:46:14+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for iPhone
18,,,2023-01-09 15:46:13+00:00,"RT @RaulCosmo1: O Cenário agora é este:
1) O PL extinto
2) O Arthur Lira preso
3) Intervenção Federal no DF
4) Devassa nas Forças Armadas
5…",,Twitter for Android
19,,,2023-01-09 15:39:50+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
20,,,2023-01-09 15:39:35+00:00,"RT @PapoRetissimo: Senador bolsonarista, Magno Malta,eleito pelo PL/ES,convida o povo para os Atos terroristas em Brasília em 07/01/23.A pr…",,Twitter for Android
21,"Rio de Janeiro, Brasil",Nao precisa concordar mas leia e PENSE ANTES...ja vi muito...leio mais...continuo brigando! #FORABOLSONARO #ForaBolsonaroGenocida,2023-01-09 15:37:48+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
22,,"Por enquanto, só acompanhando como isso vai acabar.",2023-01-09 15:37:13+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
23,"Recife, Pernambuco",ESQUERDISTA CARNÍVORO E SANTISTA,2023-01-09 15:37:11+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for iPhone
24,"São Paulo, SP - Brasil","corinthiana 🖤⚪🖤, vegana 💚🌱💚, canhota ❤🤛🏽❤, virginiana 💜♍💜",2023-01-09 15:35:57+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
25,The Amazon,"She/He | TigerGator | Ace Lebsian 🏳️‍🌈| Games, tigers, vtubers. | When you hug a flat chested girl, you're closer to her heart. | 🇬🇧/🇧🇷OK",2023-01-09 15:35:16+00:00,"RT @camarotedacpi: Contrariando a ordem do ministro do STF, Alexandre de Moraes, o governador do estado, Claudio Castro (PL), afirmou que n…",,Twitter for Android
