,user_location,user_description,date,text,hashtags,source
0,,"Especialista em Filosofia Política e Jurídica...    
Deus Vult",2023-01-09 15:21:22+00:00,"RT @renatobarrosbr: O Exército começou a desmobilizar os acampamentos e protestos nos QGs.

Mais uma ""profecia"" do Olavo de Carvalho se cum…",,Twitter Web App
1,,Nem eu sei o que tô fazendo aqui.,2023-01-09 15:21:20+00:00,RT @reportersalles: O mesmo jornal dando notícia sobre atos da esquerda em 2017 e os protestos de ontem em Brasília. Note que nos ato da es…,,Twitter for Android
2,"Campo Grande, Brasil",Pai da Super Julia;   São Paulino;  Gestor de RH; Pós graduado em Direito e Processo do Trabalho 🇧🇷,2023-01-09 15:21:17+00:00,"RT @aquelerebelde: Aqueles protestos no Chile que a galera tacou fogo em tudo e teve até gente que morreu foram chamados de que, mesmo?",,Twitter Web App
3,"Pomerode/SC, Brasil","Brasileira, conservadora, livre e com alto senso de justiça.",2023-01-09 15:21:08+00:00,"RT @reportersalles: O ditador comunista Nicolás Maduro rechaçou os protestos ocorridos em Brasília neste domingo (8). Em 2019, a ONU denunc…",,Twitter for Android
4,,,2023-01-09 15:21:08+00:00,RT @SF_Moro: O novo Governo Lula iniciou mais preocupado em reprimir protestos e a opinião divergente do que em apresentar resultados. De v…,,Twitter for Android
5,Brasília DF Goiás ,Viver um dia de cada vez Brasil 🇧🇷🫡,2023-01-09 15:21:06+00:00,RT @christie_araujo: Uma doida Intervencionista que queima o filme de manifestantes que sempre foram pacíficos em seus protestos. Faz dos p…,,Twitter for iPhone
6,BRAZIL,CONSULTOR,2023-01-09 15:21:05+00:00,"RT @madermattos1: ÚLTIMA HORA: Protestos estouram em Paris contra Macron, aumento de preços, reforma da previdência Protestos têm sido cada…",,Twitter for Android
7,,,2023-01-09 15:21:00+00:00,RT @SF_Moro: O novo Governo Lula iniciou mais preocupado em reprimir protestos e a opinião divergente do que em apresentar resultados. De v…,,Twitter for Android
8,,,2023-01-09 15:20:53+00:00,RT @SF_Moro: Protestos têm que ser pacíficos. Invasões de prédios públicos e depredação não são respostas. A oposição precisa ser feita de…,,Twitter for Android
9,,"🇧🇷100% BRASIL🇧🇷!
CONSERVADOR DE DIREITA! ÓDIO PELA ESQUERDA COMUNISTA. TOLERÂNCIA ZERO COM MARGINAIS🇧🇷",2023-01-09 15:20:50+00:00,"RT @renatobarrosbr: O Exército começou a desmobilizar os acampamentos e protestos nos QGs.

Mais uma ""profecia"" do Olavo de Carvalho se cum…",,Twitter for Android
10,"Guarapari, Brasil","...,",2023-01-09 15:20:46+00:00,RT @reportersalles: O mesmo jornal dando notícia sobre atos da esquerda em 2017 e os protestos de ontem em Brasília. Note que nos ato da es…,,Twitter for Android
