,user_location,user_description,date,text,hashtags,source
0,,,2023-01-09 13:56:52+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
1,"Guaratinguetá, Brasil",sou conservador e liberal na economia,2023-01-09 13:56:44+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
2,,,2023-01-09 13:56:43+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
3,,"Olá prazer em conhecê-lo. Meu nome é Donald Aschenbre, venho aqui para ler notícias e seguir páginas interessantes. Tenha um bom dia!",2023-01-09 13:56:26+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
4,,"Margaret Thatcher ""Eu e o Reagan demos uma boa ajuda para demolir o comunismo.""",2023-01-09 13:56:19+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
5,,Brasil acima de tudo e Deus acima de todos ! 🇧🇷🇧🇷🇧🇷,2023-01-09 13:55:48+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
6,,,2023-01-09 13:55:46+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
7,,,2023-01-09 13:55:35+00:00,RT @Cris3815: TERRORISTAS DO PT JÁ ESTAVAM DENTRO  DO PRÉDIO DO STF DESTRUINDO TUDO  🇨🇳🐀🐀🐀👺🔥  Ninguém havia invadido e já haviam mascarados…,,Twitter for Android
8,,De boa na lagoa!! =P,2023-01-09 13:55:33+00:00,RT @ElisePistola: Bandeira do PT sendo empunhada nas mãos do grupo que quebrou os vidros e vandalismos no STF. https://t.co/Inp1DS2xG6,,Twitter Web App
9,,"Jornalista cearense morando no Acre, tradutor, escritor, esp. em Relações Internacionais. I can speak: 🇧🇷🇺🇸🇪🇦🇹🇷🇸🇪",2023-01-09 13:55:07+00:00,"RT @Berbacha: LÓGICA BOLSONARISTA:

Nada justifica os atos, mas...

...""e o PT?"", ""a Globo exagera"", ""e o STF rasgando a constituição?"", ""a…",,Twitter Web App
10,,,2023-01-09 13:54:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
11,"Goiânia, Brasil",Informação,2023-01-09 13:54:50+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for iPhone
12,,,2023-01-09 13:54:23+00:00,"RT @VILMARBRUNO4: Quem depredou o STF e o Congresso, foi o PT ou povo de bem? https://t.co/MdhMIUFA83",,Twitter for Android
13,São Paulo,"Arquiteto que ama fotografia.
Se não soma, some. 
Instagram /eli_hayasaka",2023-01-09 13:53:59+00:00,"RT @zeca_dirceu: Representação da bancada do PT na câmara ao STF:

a) A Apreensão de todos os ônibus (mais de 100) e outros veículos que ch…",,Twitter Web App
14,"Florianópolis, Santa Catarina",x,2023-01-09 13:53:55+00:00,"RT @LeonelRadde: @RicardoGomesPOA Faz uma semana e tu estava mandando um ""Fora Lula"" no dia da posse. Tu acha que isso não instiga a tua tu…",,Twitter for Android
15,Óbidos - Pará - Brasil,"Cristã, casada, patriota 💚💛
DIREITA segue DIREITA ➡️⏩🇧🇷",2023-01-09 13:53:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
16,,,2023-01-09 13:53:51+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
17,,,2023-01-09 13:53:22+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
18,Rondonia ,"Brasileiro, pecuarista, empresário, patriota e conservador raiz.",2023-01-09 13:53:06+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
19,"Porto Velho, Brasil",Analista de TI - Apaixonado pelo Corinthians e Cerveja Artesenal!,2023-01-09 13:52:48+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
20,Fortaleza CE,🇧🇷 *Psicanalista ✝️🛐 *Analista CIS Assessment *Cirurgiã-dentista *Instagram: https://t.co/mTjwjinliu,2023-01-09 13:52:33+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
21,"Cuiabá, Brasil","Odeio esquerdista, comunista, petista e toda essa raça maldita. Quero meu Brasil de volta.",2023-01-09 13:52:16+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
22,,"Patriota, conservador, cristão.",2023-01-09 13:52:00+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
