,user_location,user_description,date,text,hashtags,source
0,"São Paulo, Brasil",O que importa são suas ATITUDES perante a VIDA e o RESPEITO com que você trata as pessoas...SIMPLES ASSIM !!!,2023-01-09 14:36:18+00:00,"RT @Fiuzafirmao2: 📍O TSE não garantiu eleições imparciais e transparentes;
O STF tem presos políticos;
O Senado é omisso e conivente;
Alexa…",,Twitter for Android
1,,"Brasil acima de tudo, DEUS acima de todos!!!
cristão
conservador
patriota",2023-01-09 14:36:18+00:00,"RT @monark: A culpa disso que está acontecendo é do STF. Lembra do ""perdeu mane"" os caras esfregaram na cara de milhões de brasileiros que…",,Twitter for Android
2,-A,7•27 - fã account ° trabalhada no odio o dia inteiro,2023-01-09 14:36:18+00:00,RT @dilmabr: Nunca se viu um ataque tão grave à democracia e às instituições brasileiras quanto o cometido neste domingo contra o Palácio d…,,Twitter for Android
3,Brasil,,2023-01-09 14:36:17+00:00,"RT @Tulio_DIV_MG: Esse é o coronel Av Freire, serve no COMGEP comando geral de pessoal da FAB. Ele e sua esposa estavam hoje em Brasília in…",,Twitter Web App
4,"Sorocaba, Brasil","Cristão, casado, pai, nacionalista, professor",2023-01-09 14:36:17+00:00,"RT @alefreitasdep: O TSE não garantiu eleições imparciais e transparentes;
O STF tem presos políticos;
O Senado é omisso e conivente;
O Nov…",,Twitter for Android
5,only army,"True revenge is to be strong.
살아남아야 한다. 
To protect. 
💜 OT7 💜",2023-01-09 14:36:16+00:00,"RT @77_frota: Essa é a Ana Priscilla Azevedo, ela tem 4 canais no telegram com mais de 80 mil,está no comando das ações,ontem já havia post…",,Twitter for Android
6,,,2023-01-09 14:36:16+00:00,RT @weslley_galzo: Essa foto que tirei ao chegar no STF sintetiza o que foi o dia de hoje: escárnio e desprezo à institucionalidade democrá…,,Twitter for Android
7,"São Luís, Maranhão",não tentem se auto delegar protagonistas de um espetáculo que é só meu,2023-01-09 14:36:16+00:00,RT @robsonboninjor: Confirmei agora com uma fonte do STF: o exemplar original da Constituição NÃO foi roubado pelos golpistas. O livro das…,,Twitter for iPhone
8,,,2023-01-09 14:36:16+00:00,"RT @chico_pinheiro: Senador bolsonaropata convocou seus comparsas terroristas para destruir os prédios do @STF_oficial , do Congresso Nacio…",,Twitter for iPhone
9,,,2023-01-09 14:36:16+00:00,RT @77_frota: Já temos informações que muitos financiadores são do Mato Grosso / Mato Grosso do Sul / Santa Catarina /Goiás / e interior de…,,Twitter for Android
10,"Faro, Portugal,Brasil","Feminista, Bem humorada, sensível,
Lutadora,fiel a Lula e ao PT",2023-01-09 14:36:15+00:00,RT @dilmabr: Nunca se viu um ataque tão grave à democracia e às instituições brasileiras quanto o cometido neste domingo contra o Palácio d…,,Twitter for Android
11,"São Paulo, Brasil","#Sou,@PTBrasil.",2023-01-09 14:36:15+00:00,"RT @marcosaraujjoo: BOLSONARISTA NÃO SE TOCOU QUE ELES ESTÃO SENDO DETIDOS KKK

🚨ME SIGAM, AQUI TODOS SÃO LULA!

Xandão/ exército/ mercado/…",,Twitter for Android
12,"Rio de Janeiro, Brasil",Gestão em TI _ Engenharia de Dados _ Brasileiro _ Casado _ Pai de uma princesa. Bairro Vila da Penha,2023-01-09 14:36:14+00:00,"RT @IvanCar64436360: Infiltrado esquerdista comunista que colocou fogo na viatura, patriotas o levam até a polícia.
➡️ É por isso que Alexa…",,Twitter for Android
13,,,2023-01-09 14:36:14+00:00,"RT @raphaelsebba: Acompanho protesto no DF há muitos anos.
Digo sem margem de erro: é impossível existir invasão ao STF, ao Palácio do Plan…",,Twitter for Android
14,,"Brasileiro, cristão 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",2023-01-09 14:36:14+00:00,"RT @CiolFelipe: os infiltrados serão soltos, parem de achar que vai acontecer algo com eles... são bandidos contratados pelo stf....",,Twitter for Android
15,São Paulo,"🚩Ativista de esquerda, lutando contra o governo fascista.
#Lula2022 ❤️🚩       
#ForaBolsonaro 🤡💩",2023-01-09 14:36:13+00:00,"RT @DCM_online: Marco Aurélio Mello isenta Bolsonaro e culpa STF por terrorismo em Brasília
https://t.co/XdZI8cZ7lK",,Twitter for Android
16,"Goiânia, Brasil","Raça, Amor e Paixão.

Eu sempre te amarei. Onde estiver, estarei. Oh, meu Mengo! Tu és time de tradição.

Instagram: @diogoaugustovalentim",2023-01-09 14:36:13+00:00,"RT @77_frota: Essa é a Ana Priscilla Azevedo, ela tem 4 canais no telegram com mais de 80 mil,está no comando das ações,ontem já havia post…",,Twitter for Android
17,,"A vida de um pobre leitor não é nada fácil, não sou o Batman mas posso te salvar. Segue não comédia. +18 💀",2023-01-09 14:36:13+00:00,"RT @STF_oficial: Nota do STF sobre vandalismo e atos antidemocráticos em Brasília

Presidente do STF, Ministra Rosa Weber, diz que Suprema…",,Twitter for Android
